Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,28.805216,30.005434,28.736633,28.976677,16.056757,1094181
2000-01-04,28.976677,28.925238,26.953453,27.690729,15.344177,1671548
2000-01-05,27.090620,27.605000,26.679117,27.433538,15.201665,1033053
2000-01-06,27.073475,29.936850,27.022036,29.405325,16.294283,1678435
2000-01-07,29.405325,30.691273,28.890945,29.045259,16.094761,2659862
2000-01-10,29.319595,29.885412,28.016502,28.033648,15.534200,1533078
2000-01-11,29.113844,29.113844,27.776459,27.776459,15.391683,1469442
2000-01-12,27.560419,28.668049,27.490122,28.098803,15.570308,1789278
2000-01-13,28.479443,29.045259,28.187962,28.753778,15.933242,1378540
2000-01-14,29.045259,29.388180,28.530882,29.388180,16.284781,1129035
2000-01-17,29.388180,29.456762,28.205109,28.410858,15.743219,1802908
2000-01-18,28.770926,28.976677,28.119377,28.119377,15.581707,1327280
2000-01-19,28.290838,28.153669,27.262079,27.622145,15.306174,1427111
2000-01-20,27.536415,27.827896,26.576241,26.576241,14.726611,2236649
2000-01-21,26.661970,26.747702,25.718943,25.736090,14.261061,1715249
2000-01-24,26.661970,27.124912,26.370489,26.919161,14.916634,1181059
2000-01-25,26.919161,27.056328,26.267614,26.267614,14.555594,845855
2000-01-26,26.404781,26.884869,26.319052,26.576241,14.726611,879384
2000-01-27,26.576241,27.159204,26.507658,26.507658,14.688606,3085402
2000-01-28,27.004890,27.004890,26.233322,26.884869,14.897629,973902
2000-01-31,26.936308,26.953453,26.319052,26.953453,14.935639,888570
2000-02-01,27.090620,27.433538,26.833431,27.176350,15.059149,1400644
2000-02-02,27.176350,27.742167,26.919161,27.742167,15.372682,761077
2000-02-03,27.776459,27.776459,27.347811,27.605000,15.296674,1013433
2000-02-04,27.279226,27.947918,26.953453,27.605000,15.296674,845493
2000-02-07,27.605000,27.776459,26.747702,26.781994,14.840626,697954
2000-02-08,26.953453,27.502123,26.421928,26.679117,14.783616,830422
2000-02-09,27.090620,27.090620,25.907549,25.907549,14.356070,815492
2000-02-10,26.044718,26.199030,25.513191,25.890404,14.346569,1077174
2000-02-11,26.061863,26.147593,24.861645,25.204563,13.966527,1456471
2000-02-14,25.616068,25.701797,25.290295,25.376024,14.061538,795942
2000-02-15,25.650358,25.650358,24.861645,24.861645,13.776505,789946
2000-02-16,25.341732,25.376024,24.827353,25.067396,13.890519,944613
2000-02-17,25.015959,25.890404,24.964521,25.890404,14.346569,874713
2000-02-18,25.547483,25.890404,24.107224,24.107224,13.358463,1769693
2000-02-21,24.210098,25.153126,24.210098,24.775915,13.729001,825016
2000-02-22,24.775915,25.170273,24.175808,24.432997,13.538980,757659
2000-02-23,25.170273,25.650358,24.878792,25.376024,14.061538,934085
2000-02-24,25.701797,25.890404,25.204563,25.478901,14.118548,836762
2000-02-25,25.478901,25.976133,24.861645,25.290295,14.014030,2017174
2000-02-28,25.290295,25.376024,24.278683,24.690186,13.681497,1534612
2000-02-29,24.913082,25.033106,24.004347,24.038639,13.320459,2523165
2000-03-01,24.330120,25.033106,23.850033,24.484434,13.567485,1624178
2000-03-02,24.330120,24.655893,23.935762,24.347265,13.491474,1513819
2000-03-03,24.141516,24.347265,23.489967,23.970055,13.282454,1448200
